name,area,area_id,craving_id,occasion_id,vibe,cuisine,price_id,price,description,speciality,address,closest_tube_station,opening_hours,website_link
Andina,Shoreditch,2,1,4,Cosy,Peruvian,2,35,"Despite its focus on superfoods, Andina also works wonders on the indulgent brunch front. Alongside nut-laced chia seed puddings and seasonal quinoa-filled granolas sit the likes of sweet-potato pancakes topped with spiced honey, fruit and whipped coconut cream, or soft baps filled with confit pork belly – a South American take on the bacon roll. If you accidentally pig out, balance the books with a colourful superfood smoothie.","The corn soufflé with smoked bacon, poached eggs and coriander-flecked hollandaise. It’s the second-best way to start the weekend off with a rosy glow.","1 Redchurch Street 
London 
E2 7DJ ",Shoreditch High St Overground,8am-11pm Mon-Fri; 10am-11pm Sat-Sun,https://www.cevichefamily.com/andina
Antipodea,Kew,3,1,2,Posh posh,Australian,2,55,"Brunch at Antipodea is an Aussie affair. Sipping your flat white in the conservatory-style dining room, you could almost be in Melbourne. Apart from, you know, the British weather. There’s brilliant variety here for brunch: all manner of eggs (poached, folded, soft boiled with Marmite soldiers), treacle-cured bacon sarnies, Turkish pides loaded with toppings, sweetcorn fritters, fish cakes, burgers or flat-iron steak with fries. See? Spoilt for choice",The lobster brioche roll topped with poached egg and caviar.,"9 Station Approach 
Kew 
London 
TW9 3QB ",Kew Gardens,"Thursday
to Saturday:
7:00 – 23:00, Sunday
to Wednesday:
7:00 – 22:00",http://antipodea.co.uk/
Bad Egg,Moorgate,5,2,6,Hipster,Contemp,2,50,"It’s dude food with attitude at this deliberately scruffy City hangout, where at weekends you can go all out on a bottomless brunch (with or without booze) at any time of day – including Friday night ‘Frunch’. Neon signage flashes and a punk soundtrack plays as brunchers sit at diner-style red leather booths and hoover up dishes from a deliciously meaty, North American-influenced menu featuring pulled pork, eggs, fries, mini tacos and pancakes topped with fried chicken. At weekdays, there’s a shorter, slightly more restrained all-day brunch offering.","Unlimited Bloody Marys, mimosas and prosecco on the boozy brunch menu (£35pp).","Unit 1B, City Point 
1 Ropemaker Street 
London 
EC2Y 9AW ",Moorgate,8am-10pm Mon-Fri;  Sat 10am-7.30pm; Sun 10am-5pm,https://www.badegg.london/
Babette,Nunhead,3,3,3,Hipster,Comtemp,1,20,"Once a pub, this brick-walled space is now Madame Babette’s pride and joy – a neighbourhood restaurant with a Gallic vibe, chandeliers in the front room, Bermondsey beers on tap and blackboard menus focusing on ‘meaty’ and ‘veggie’ sharing boards. Weekend brunch (till 4pm) tells a different story, with everything from sultry croque madame and plates of scrambled eggs to homemade sausage, home-cured bacon, homemade beans, slow-roasted tomato, crispy mushroom Kiev and buttered kale – Saturday done right.",The toasted bread with ‘herby’ butter or the French fries with ‘herby’ salt.,"2 Old James St 
London 
SE15 3TR ",Nunhead Rail,Closed Mon-Tues; 4-11pm Wed-Thurs; 10am-12pm Fri-Sat; 11am-7pm Sun,http://babettenunhead.com/
Umu,Mayfair,4,5,2,Posh posh,Japanese,3,,"With a futuristic sliding entrance door (set off by placing your hand on a sensor), a plush, dark interior and polished service, Umu is guaranteed to impress. The bill too is likely to leave a lasting impression, so it’s best to save this swanky venue for a special occasion unless you have an expense account. (There was no shortage of high-powered diners on our most recent visit.) On such a celebratory occasion, opt for the multi-course tasting menu and you’ll get to explore an elaborate range of Kyoto-style kaiseki cuisine, presented on attractive dishes. The modern sushi doesn’t always make the grade, though, so stick to the classic version. Luxury ingredients abound on the à la carte: wild Scottish lobster tempura, wagyu beef tataki (grade 9) and Irish abalone steamed in saké. For a less bank-breaking taster of the menu, come at lunch for a set meal (such as a bento with grilled fish, meat or tempura, or somen noodles) – all served with soup, salad and a dessert. Our nigiri sushi selection was of the utmost quality. The ample wine and saké lists are worthy of exploration too.",,"14-16 Bruton Pl, Mayfair, London W1J 6LX",Bond Street,"12-12.30pm, 6-11pm Mon-Sat; Closed Sun",https://www.umurestaurant.com/
Balthazar,Covent Garden,5,3,3,Cosy,Contemp,2,45,"The brunch menu at this snazzy French-brasserie-by-way-of-Manhattan covers the usual gamut of eggs (boiled with soldiers, Florentine, egg-white omelettes and so on), plus American-style pancakes – but you can go in even heavier with lunch-style dishes such as steak frites or shellfish linguine. Wash it down with one of the best classic Bloody Marys in town."," Of all the egg-based dishes, opt for the scrambled egg with Cornish crab. Sounds odd, but it’s a delicacy brought together with a light dollop of crème fraîche on top.","4-6 Russell Street 
London 
WC2B 5HZ ",Covent Garden,Monday to Thursday: 7.30am - 11:30pm Friday 7:30am: – 12pm Saturday 9am: - 12am Sunday 9am: - 11pm,https://balthazarlondon.com/
Bellanger,Islington,1,3,4,Fancy-Pantz,French,2,40,"Occupying a quiet sweet spot on Islington Green in Angel, this Alsatian-themed high-end Paris-style brasserie from the folk behind The Wolseley does weekend brunch in unhurried style. The menu takes a no-holds-barred approach to combining the first two meals of the day. Want to kick off with oysters? Why not? Feel like ordering tarte flambée or waffles loaded with Alsatian cheeses instead of your standard eggs and smoked salmon? Be their guest. Finish it all off with ice cream? No one will judge.","The sweet tarte flambée options – try the one with strawberries, crème fraiche and marshmallows","9 Islington Green 
London 
N1 2XH",Angel,8am-10pm Mon-Thurs; 8am - 11pm Fri-Sat; 8am-10pm Sun,https://www.bellanger.co.uk/
Beany Green,Moorgate,5,1,5,Cosy,Australian,1,30,"It’s brunch time all of the time for Beany Green at the weekend. The Australian café in Broadgate Circus lays on a killer all-day menu which moves from broccoli and corn fritters with egg and bacon to banana bread sarnies filled with mascarpone, berries and almonds. Their ‘fancy’ bacon roll includes The Rib Man’s Holy Fuck Hot Sauce in hollandaise form, and of course they slice and dice the avocado every which way. If this brekkie spot doesn’t have you feeling sunny, we don’t know what will.","Fancy somethin’ sweet? The banana bread sandwich – piled with mascarpone, berries, honey and almonds – is worth the approving whispers.","Kiosk 1 
41 Broadgate Circle 
London 
EC2M 2QS ",Liverpool Street,6.30am-9pm Mon - Tue; 6.30am-late Wed-Fri,http://www.daisygreenfood.com/venues/broadgate-circle
Berber & Q,Haggerston,2,4,4,Hipster,Turkish,2,40,"Cosy up on the banquettes of this Haggerston railway arch, where the sexy low lighting eases you gently into the day ahead and the smoky, meaty smells coming off the grill snap you right back to your senses. There is, of course, plenty for meat-eaters to love here (the mangal breakfast sharer alone contains chops, sausages, kidneys and bone marrow), but veggies can feel just as satisfied with a plate of comforting Turkish eggs, poached and smothered in paprika butter, or the Israeli breakfast for two, an exotic mezze complete with roasted beets and honeyed feta."," The harissa bloody mary is one of the best twists on a classic mary you’ll find in London, sweet and spicy all in one.","Arch 338 
Acton Mews 
London 
E8 4EA ",Haggerston Overground,"Tue-Fri 6-11pm; Sat 11am-3pm; Sun 11am-3pm, 6-10pm",http://www.berberandq.com/
The Black Penny,Covent Garden,5,1,6,Hipster,Contemp,2,35,"In the lowlands between Holborn and Covent Garden lies The Black Penny, a cheery café where diners will struggle to choose just one of the enticing cooked brunches on offer – there’s brioche French toast, crispy confit duck hash and even bubble and squeak. High-quality, fresh ingredients and ample portions justify its pricing, and attention to detail is a strong point – look out for cucumber-infused tap water. A selection of arty magazines and a super-soulful soundtrack make it far too easy to spend all day here.","Make an absolute hash of it. Here, they do them with wild mushroom and crispy polenta, salt beef with green tomato chutney, or crispy confit duck with sweet potato, chilli, coriander and a poached egg – take your pick.","34 Great Queen Street 
London 
WC2B 5AA",Holborn or Covent Garden,8am-6pm Mon-Fri; 9am-6pm Sat; 9am-5pm Sun,http://www.theblackpenny.com/
